url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
61,0,2,0,1,-1,1,0,1,0,1
20,0,1,1,0,-1,1,0,1,0,0
53,0,3,0,1,-1,0,0,-1,-1,1
37,0,1,0,0,-1,1,0,0,0,0
26,0,2,0,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
21,0,1,1,0,-1,1,0,0,0,0
36,0,2,0,1,-1,1,0,1,1,1
41,0,3,0,1,-1,1,1,0,0,1
38,0,2,1,1,-1,0,0,1,0,1
65,0,2,1,1,-1,0,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,0,0,-1,1,0,1,0,1
51,0,2,0,1,-1,0,0,-1,-1,1
67,0,2,1,1,-1,1,0,0,0,0
46,0,3,1,1,-1,1,0,0,0,1
388,0,3,1,1,-1,0,0,-1,-1,1
53,0,3,0,1,-1,1,0,-1,-1,0
155,0,4,0,1,-1,1,1,0,0,1
53,0,3,0,1,-1,1,0,-1,-1,0
314,0,9,1,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
31,0,3,0,1,-1,0,0,-1,-1,1
51,0,3,0,2,-1,1,0,0,0,1
69,0,2,1,1,-1,1,0,0,0,0
29,0,1,1,0,-1,1,0,0,0,1
43,0,2,1,1,-1,1,0,1,1,1
33,0,2,0,1,-1,1,0,0,0,1
69,0,4,1,3,-1,1,0,-1,-1,1
95,0,1,0,0,-1,1,0,-1,-1,1
132,0,3,1,1,-1,1,0,0,0,1
96,0,1,0,0,-1,1,0,-1,-1,1
60,0,2,1,1,-1,1,0,0,0,1
103,0,4,0,0,-1,1,0,0,0,1
128,0,3,1,1,-1,1,0,0,0,0
60,0,4,0,1,-1,1,0,0,0,1
26,0,2,1,1,-1,1,0,1,1,1
31,0,3,0,1,-1,1,0,-1,-1,1
32,0,2,1,1,-1,1,0,0,0,0
48,0,4,0,1,-1,1,0,0,0,1
68,0,2,0,1,-1,1,0,0,0,1
51,0,3,1,1,-1,1,0,0,0,0
53,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
33,0,2,1,1,-1,1,0,0,0,1
62,0,3,0,1,-1,1,0,0,0,1
54,0,2,0,0,-1,1,1,1,0,1
42,0,2,0,1,-1,1,0,1,0,1
100,0,3,0,1,-1,0,0,-1,-1,1
117,0,4,0,3,-1,1,0,-1,-1,1
24,0,1,1,0,-1,0,1,-1,-1,1
25,0,2,1,1,-1,1,0,0,0,1
59,0,4,0,3,-1,0,0,-1,-1,1
84,0,3,0,0,-1,0,1,-1,-1,1
66,0,2,1,1,-1,1,0,0,0,0
33,0,1,1,0,-1,1,0,-1,-1,0
20,0,1,1,0,-1,1,0,1,0,0
20,0,1,1,0,-1,1,0,1,0,0
55,0,2,0,1,-1,1,0,0,0,1
59,0,2,0,0,-1,1,0,0,0,1
37,0,2,1,1,-1,1,0,0,0,0
54,0,3,0,1,-1,1,0,0,1,0
42,0,3,0,1,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,0,1,0
44,0,3,1,1,-1,1,0,0,0,0
153,0,5,1,0,-1,0,0,-1,-1,1
38,0,3,0,2,-1,1,0,-1,-1,1
29,0,2,1,1,-1,1,0,0,0,1
29,0,2,1,1,-1,1,0,0,0,1
32,0,1,0,0,-1,1,0,0,0,0
46,0,1,1,0,-1,0,0,-1,-1,1
33,0,2,0,0,-1,1,0,-1,-1,0
46,0,2,0,1,-1,1,0,0,0,1
34,0,2,1,1,-1,1,0,0,0,0
54,0,1,1,0,-1,1,0,1,0,0
49,0,2,1,1,-1,1,0,0,0,0
49,0,3,0,1,-1,1,1,0,0,1
55,0,3,1,1,-1,1,0,0,0,0
52,0,3,0,1,-1,1,0,0,1,0
30,0,2,1,1,-1,1,0,-1,-1,1
33,0,3,0,1,-1,1,0,0,0,0
30,1,3,0,0,-1,0,0,-1,-1,1
70,0,3,0,1,-1,1,0,1,0,1
33,0,1,0,0,-1,1,0,0,0,1
62,0,1,1,0,-1,1,0,0,0,0
98,0,2,1,1,-1,1,0,-1,-1,1
30,0,2,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,1,0,0
39,0,1,0,0,-1,1,0,-1,-1,0
68,0,2,1,0,-1,1,0,1,0,0
46,0,3,0,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
36,0,2,1,1,-1,0,0,-1,-1,1
29,0,2,1,0,-1,1,0,-1,-1,0
23,0,1,0,0,-1,1,0,-1,-1,0
